artist_name,track_name,duration_ms,album_name,artist_genres,artist_popularity,artist_followers,album_type,album_release_date,audio_features_danceability,audio_features_energy,audio_features_key,audio_features_loudness,audio_features_mode,audio_features_speechiness,audio_features_acousticness,audio_features_instrumentalness,audio_features_liveness,audio_features_valence,audio_features_tempo,audio_features_time_signature
Sabrina Carpenter,Feels Like Loneliness,200573,EVOLution,pop,90.0,9628929.0,album,2016-10-14,0.746,0.638,9,-4.766,0,0.0923,0.0975,0.00752,0.173,0.333,127.985,4
Maggie Lindemann,Knocking on Your Heart,220800,Knocking on Your Heart,"alt z, dark pop, pop",61.0,2024444.0,single,2015-09-04,0.469,0.729,2,-7.159,0,0.0866,0.107,0.0105,0.0884,0.357,149.67,4
Christina Grimmie,Snow White,220560,Side A,"post-teen pop, viral pop",45.0,465945.0,single,2016-02-21,0.498,0.603,5,-6.801,0,0.125,0.0692,0.0,0.158,0.245,124.554,4
Ashley Tisdale,Still into You (feat. Chris French),232559,Still into You (feat. Chris French),"dance pop, pop, post-teen pop",50.0,1340265.0,single,2016-10-20,0.747,0.219,11,-11.664,1,0.0344,0.896,0.0,0.126,0.544,126.985,4
Alex & Sierra,Say My Name,209513,As Seen On TV,"pop, post-teen pop, viral pop",54.0,1161112.0,album,2016-09-30,0.76,0.471,8,-6.466,1,0.0416,0.262,0.0,0.0631,0.628,130.085,4
Maggie Lindemann,Things,186382,Things,"alt z, dark pop, pop",61.0,2024444.0,single,2016-01-29,0.491,0.332,2,-8.277,0,0.111,0.305,0.00136,0.176,0.126,188.023,4
Ruelle,Monsters,192346,Scream: Music from Season One,metropopolis,60.0,598019.0,compilation,2015-08-14,0.601,0.543,7,-5.412,1,0.147,0.46,0.00229,0.224,0.482,169.84,4
Natalie Taylor,Surrender,183103,Surrender,,54.0,179314.0,single,2015-10-29,0.39,0.448,5,-8.57,0,0.0276,0.8,0.182,0.107,0.077,144.89,5
MIIA,Dynasty,225515,Dynasty,norwegian pop,56.0,86814.0,single,2016-01-29,0.493,0.594,8,-4.404,0,0.0378,0.256,0.0,0.0759,0.304,123.751,4
Corinne Bailey Rae,"The Scientist - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",196040,Fifty Shades Darker,"british soul, neo soul, pop soul, soul",63.0,788738.0,compilation,2017-02-10,0.441,0.225,10,-11.081,1,0.0294,0.785,0.000252,0.107,0.148,85.679,4
Jack Savoretti,Fight 'Til the End,214226,Written In Scars,acoustic pop,52.0,309260.0,album,2015-09-25,0.65,0.652,4,-9.743,0,0.028,0.0619,0.000398,0.101,0.413,133.936,4
Ruelle,Bad Dream,248040,Madness,metropopolis,60.0,598019.0,album,2016-12-09,0.624,0.614,8,-6.464,0,0.0339,0.105,0.158,0.109,0.241,119.97,4
Ruelle,Where Do We Go from Here?,196334,Madness,metropopolis,60.0,598019.0,album,2016-12-09,0.261,0.397,9,-7.898,0,0.0313,0.895,0.00217,0.0715,0.152,150.176,4
Ruelle,Live Like Legends,223526,Madness,metropopolis,60.0,598019.0,album,2016-12-09,0.465,0.686,7,-5.429,0,0.0314,0.118,0.00218,0.0802,0.318,79.017,4
Ruelle,Daydream,284347,Madness,metropopolis,60.0,598019.0,album,2016-12-09,0.519,0.685,9,-6.678,0,0.0261,0.371,0.936,0.0665,0.195,92.001,4
Ruelle,Game of Survival,178566,Madness,metropopolis,60.0,598019.0,album,2016-12-09,0.557,0.822,11,-4.973,0,0.0522,0.26,0.0808,0.31,0.153,115.979,4
Ruelle,Closing In,176250,Madness,metropopolis,60.0,598019.0,album,2016-12-09,0.42,0.27,0,-10.699,1,0.0301,0.793,5.37e-05,0.0953,0.0908,127.669,4
Ruelle,Fear on Fire,217760,Up in Flames,metropopolis,60.0,598019.0,single,2015-01-20,0.52,0.704,5,-6.584,0,0.0357,0.000287,0.0115,0.111,0.152,137.862,4
Ruelle,Big Guns,256600,Up in Flames,metropopolis,60.0,598019.0,single,2015-01-20,0.488,0.512,0,-7.265,1,0.0294,0.0574,6.18e-05,0.1,0.0378,132.171,4
Ruelle,Until We Go Down,252440,Up in Flames,metropopolis,60.0,598019.0,single,2015-01-20,0.433,0.314,5,-10.609,0,0.0505,0.379,0.48,0.104,0.139,116.264,4
Ed Sheeran,Hearts Don't Break Around Here,248413,÷,"pop, singer-songwriter pop, uk pop",86.0,114502685.0,album,2017-03-03,0.604,0.366,7,-7.881,1,0.0267,0.719,0.0,0.162,0.181,105.177,3
Ariana Grande,Sometimes,226666,Dangerous Woman,pop,90.0,97217226.0,album,2016-05-20,0.359,0.66,1,-5.396,0,0.289,0.09,0.0,0.343,0.554,79.196,4
Ariana Grande,Thinking Bout You,200400,Dangerous Woman,pop,90.0,97217226.0,album,2016-05-20,0.51,0.69,11,-5.991,1,0.0711,0.0144,0.000276,0.108,0.426,103.025,4
5 Seconds of Summer,Story Of Another Us,235614,Sounds Good Feels Good,"boy band, pop",75.0,9962907.0,single,2016-12-03,0.497,0.869,2,-4.517,1,0.0375,0.00189,0.0,0.0778,0.575,147.996,4
Riverdale Cast,I'll Try,195773,Riverdale: Season 1 (Original Television Soundtrack),,44.0,547399.0,album,2017-05-12,0.553,0.228,0,-12.318,1,0.0361,0.68,0.000721,0.116,0.162,135.889,4
Meghan Trainor,Hopeless Romantic,245120,Thank You,"hip pop, pop",78.0,15128721.0,album,2016-05-13,0.388,0.315,0,-8.247,1,0.0319,0.738,0.0,0.115,0.526,175.072,3
Gabrielle Aplin,Miss You - Piano,213960,Miss You,"acoustic pop, indie anthem-folk, neo-singer-songwriter, uk pop, viral pop",52.0,673804.0,single,2016-12-16,0.631,0.287,9,-7.24,1,0.0307,0.769,0.0,0.0986,0.385,95.692,4
Gabrielle Aplin,Shallow Love,239546,Light Up The Dark,"acoustic pop, indie anthem-folk, neo-singer-songwriter, uk pop, viral pop",52.0,673804.0,album,2015-09-18,0.401,0.54,8,-7.393,1,0.0459,0.687,8.87e-05,0.0934,0.496,177.967,4
